|    BACKEND    |  NITEMS  |   INSERT   |   SEARCH   |
|       open-0.5|     10000|    0.036342|   0.0051073|
|       open-0.5|    100000|     0.28994|     0.10307|
|       open-0.5|   1000000|      2.4355|     0.70302|
|       open-0.5|  10000000|      31.587|      7.3261|
|       open-0.6|        10|  1.5692e-05|  1.3189e-05|
|       open-0.6|       100|  7.3244e-05|  6.0485e-05|
|       open-0.6|      1000|   0.0016001|  0.00050384|
|       open-0.6|     10000|     0.05081|    0.005229|
|       open-0.6|    100000|     0.27735|    0.073512|
|       open-0.6|   1000000|      2.7233|     0.86747|
|       open-0.6|  10000000|      22.233|      7.1895|
|       open-0.7|        10|  1.8833e-05|  2.5921e-05|
|       open-0.7|       100|  7.5186e-05|  6.8633e-05|
|       open-0.7|      1000|     0.00171|  0.00056234|
|       open-0.7|     10000|    0.024451|   0.0050929|
|       open-0.7|    100000|      0.2304|      0.1111|
|       open-0.7|   1000000|      2.5021|     0.62005|
|       open-0.7|  10000000|       22.25|      7.4173|
|       open-0.8|        10|  2.0366e-05|  1.3639e-05|
|       open-0.8|       100|  7.2821e-05|  6.0267e-05|
|       open-0.8|      1000|   0.0018255|  0.00052328|
|       open-0.8|     10000|    0.028579|   0.0052721|
|       open-0.8|    100000|     0.15409|    0.087442|
|       open-0.8|   1000000|      2.5779|     0.62104|
|       open-0.8|  10000000|      23.363|      7.1297|
|       open-0.9|        10|  1.6161e-05|  1.3663e-05|
|       open-0.9|       100|  7.7668e-05|   5.921e-05|
|       open-0.9|      1000|    0.001969|  0.00054736|
|       open-0.9|     10000|    0.032315|    0.005387|
|       open-0.9|    100000|     0.20697|     0.11124|
|       open-0.9|   1000000|      2.5728|      0.7481|
|       open-0.9|  10000000|      23.954|      6.6436|
|       open-1.0|        10|  1.5528e-05|  1.3711e-05|
|       open-1.0|       100|  7.6922e-05|  6.3406e-05|
|       open-1.0|      1000|   0.0013127|  0.00052102|
|       open-1.0|     10000|         inf|   0.0052281|
|       open-1.0|    100000|         inf|     0.10098|
|       open-1.0|   1000000|         inf|     0.92804|
|       open-1.0|  10000000|         inf|      10.526|
